address_street,city,state,county,zip,violation_type,status,date_opened,case_id,parcel,latitude,longitude
5001 CRAINWAY DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-04T00:00:00.000,2026-055150 CC,0226210201,30.3190283,-97.65763354
7300-7411 ONION CREEK DRIVE,Austin,TX,Travis,,Property Abatement,Active,2026-05-04T00:00:00.000,2026-055311 CC,,,
6810 S 1ST STREET Unit 104,Austin,TX,Travis,78745,Structure Condition Violation(s),Active,2026-05-03T00:00:00.000,2026-054880 CC,0419120506,30.19535891,-97.78926547
12166 METRIC BOULEVARD,Austin,TX,Travis,78758,Property Abatement,Active,2026-05-03T00:00:00.000,2026-054885 CC,0258160701,30.4067901,-97.69786669
4010 N LAMAR BOULEVARD,Austin,TX,Travis,78756,Structure Condition Violation(s),Active,2026-05-03T00:00:00.000,2026-054872 CC,0221021409,30.30878491,-97.74124758
2211 ROUNTREE DRIVE,Austin,TX,Travis,78722,Property Abatement,Active,2026-05-03T00:00:00.000,2026-054886 CC,0212130705,30.28578251,-97.70754377
1016 SPENCE STREET,Austin,TX,Travis,78702,Property Abatement,Active,2026-05-03T00:00:00.000,2026-054824 CC,0203040919,30.25861853,-97.73404337
10346 BLUE BLUFF ROAD,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-03T00:00:00.000,2026-054868 CC,0227520102,30.32161514,-97.58361307
5407 VIEWPOINT DRIVE,Austin,TX,Travis,78744,Property Abatement,Active,2026-05-03T00:00:00.000,2026-054891 CC,0318060223,30.20045269,-97.73151746
205 E MONROE STREET,Austin,TX,Travis,78704,Structure Condition Violation(s),Active,2026-05-03T00:00:00.000,2026-054832 CC,0302000906,30.24736442,-97.74873782
11933 ROSETHORN DRIVE,Austin,TX,Travis,78758,Property Abatement,Active,2026-05-03T00:00:00.000,2026-054834 CC,0256160204,30.40013221,-97.69991435
2901 BARTON SKYWAY,Austin,TX,Travis,78746,Structure Condition Violation(s),Active,2026-05-03T00:00:00.000,2026-054822 CC,0104130201,30.25873031,-97.78949026
4907 SCARSDALE DRIVE,Austin,TX,Travis,78744,Property Abatement,Active,2026-05-03T00:00:00.000,2026-054857 CC,0317020813,30.19973267,-97.74389169
1012 SPENCE STREET,Austin,TX,Travis,78702,Property Abatement,Active,2026-05-03T00:00:00.000,2026-054823 CC,0203040921,30.25871214,-97.73431965
107 W O DELL STREET,Austin,TX,Travis,78752,Property Abatement,Active,2026-05-03T00:00:00.000,2026-054873 CC,0232120907,30.33661681,-97.71033294
4431 WHISPERING VALLEY DRIVE,Austin,TX,Travis,78759,Property Abatement,Active,2026-05-03T00:00:00.000,2026-054870 CC,0260060222,30.4148347,-97.72978659
5701 WOODVIEW AVENUE,Austin,TX,Travis,78756,Property Abatement,Active,2026-05-03T00:00:00.000,2026-054865 CC,0231020609,30.33365282,-97.7442067
8716 TALLWOOD DRIVE,Austin,TX,Travis,78759,Property Abatement,Active,2026-05-03T00:00:00.000,2026-054856 CC,0247010130,30.37934217,-97.74600622
4604 ENGLEWO4604OD DRIVE,Austin,TX,Travis,78745,Work Without Permit,Active,2026-05-03T00:00:00.000,2026-054881 CC,0410081409,30.21875419,-97.77786289
4503 CRAIGWOOD DRIVE,Austin,TX,Travis,78725,Property Abatement,Active,2026-05-02T00:00:00.000,2026-054755 CC,0211280125,30.27991347,-97.6604607
1301 CROSSING PLACE 1413,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-05-02T00:00:00.000,2026-054771 CC,0307110137,30.23653697,-97.71329824
4001 AVENUE B,Austin,TX,Travis,78751,Property Abatement,Active,2026-05-02T00:00:00.000,2026-054804 CC,0219050901,30.3043986,-97.73434447
11107 SENTINEL DRIVE,Austin,TX,Travis,78747,Property Abatement,Active,2026-05-02T00:00:00.000,2026-054800 CC,0445031610,30.13035689,-97.7638511
1124 RUTLAND DRIVE Unit 95,Austin,TX,Travis,78758,Structure Condition Violation(s),Active,2026-05-02T00:00:00.000,2026-054778 CC,0243160302,30.36871033,-97.70372535
12113 DESSAU ROAD,Austin,TX,Travis,78754,Property Abatement,Active,2026-05-02T00:00:00.000,2026-054772 CC,0250300105,30.38322269,-97.64986915
1901 WILLOW CREEK DRIVE Unit 204,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-05-02T00:00:00.000,2026-054802 CC,0306070104,30.2339437,-97.72787537
4693 RED BLUFF RD,Austin,TX,Travis,,Property Abatement,Active,2026-05-02T00:00:00.000,2026-054765 CC,,,
4804 TOURNUS TRAIL,Austin,TX,Travis,78744,Property Abatement,Active,2026-05-02T00:00:00.000,2026-054779 CC,0426011403,30.17892845,-97.75284118
5100 QUICKSILVER BLVD,Austin,TX,Travis,78744,Property Abatement,Active,2026-05-02T00:00:00.000,2026-054783 CC,0430010607,30.17282181,-97.75347589
606 BLUE VALLEY DRIVE,Austin,TX,Travis,78745,Property Abatement,Active,2026-05-02T00:00:00.000,2026-054766 CC,0424000203,30.18263866,-97.79244317
312 W 39TH STREET,Austin,TX,Travis,78751,Property Abatement,Active,2026-05-02T00:00:00.000,2026-054803 CC,0219050801,30.30326538,-97.73515473
WALNUT HILLS DR and MANOR RD,Austin,TX,Travis,,Property Abatement,Active,2026-05-02T00:00:00.000,2026-054770 CC,,,
415 MONTOPOLIS DRIVE,Austin,TX,Travis,78741,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054617 CC,0303170539,30.24039905,-97.69323415
8400 VALLEYFIELD DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054466 CC,0219400210,30.29956248,-97.62470516
6806 WENTWORTH DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054433 CC,0217380119,30.29489888,-97.63062034
12107 SWALLOW DRIVE,Austin,TX,Travis,78750,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054501 CC,R078304,30.44969168,-97.79718898
8202 COLONY LOOP DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054403 CC,0217380211,30.29712274,-97.62821576
2101 BURTON DRIVE BLDG 07 UNIT 2033,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-05-01T00:00:00.000,2026-054644 CC,0307050309,30.23256094,-97.73196691
8405 RIVERSTONE DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054396 CC,0217380514,30.29319225,-97.6283386
2800 W 44TH STREET,Austin,TX,Travis,78731,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054568 CC,0126011109,30.31992868,-97.75417121
2812 NUECES STREET,Austin,TX,Travis,78705,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054713 CC,0215020623,30.29434033,-97.74302687
11441 N IH 35 SERVICE ROAD,Austin,TX,Travis,78753,Structure Condition Violation(s),Active,2026-05-01T00:00:00.000,2026-054253 CC,0247230816,30.37919393,-97.67300529
8407 GARCREEK CIRCLE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054425 CC,0217380407,30.29418615,-97.62864671
7033 E US 290 HWY SERVICE ROAD EB BLDG. 23 UNIT 223M,Austin,TX,Travis,78723,Structure Condition Violation(s),Active,2026-05-01T00:00:00.000,2026-054244 CC,0225200203,30.32048526,-97.68608137
8104 VALLEYFIELD DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054459 CC,0219380101,30.29952114,-97.62847818
6404-6515 FELIX AVENUE,Austin,TX,Travis,,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054531 CC,,,
12621 HYMEADOW DRIVE,Austin,TX,Travis,78729,Structure Condition Violation(s),Active,2026-05-01T00:00:00.000,2026-054477 CC,R379578,30.45798345,-97.79062999
6810 WENTWORTH DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054436 CC,0217380117,30.2951695,-97.63027997
8108 CAMBRAY DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054456 CC,0219380201,30.29966859,-97.62803664
6708 WENTWORTH DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054428 CC,0217380124,30.29405335,-97.63121769
2707 BENBROOK DRIVE,Austin,TX,Travis,78757,Work Without Permit,Active,2026-05-01T00:00:00.000,2026-054633 CC,0244051466,30.36984402,-97.73221283
2500 WESTOVER ROAD,Austin,TX,Travis,78703,Structure Condition Violation(s),Active,2026-05-01T00:00:00.000,2026-054627 CC,0118040111,30.30224474,-97.76201004
1012 W SLAUGHTER LANE,Austin,TX,Travis,78748,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054572 CC,0430150401,30.17438868,-97.81000655
VERMILLION DR and CONVICT HILL RD,Austin,TX,Travis,,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054451 CC,,,
1070 MEARNS MEADOW BOULEVARD Unit 916,Austin,TX,Travis,78758,Structure Condition Violation(s),Active,2026-05-01T00:00:00.000,2026-054691 CC,0243160501,30.36948655,-97.69959977
744 W WILLIAM CANNON DRIVE,Austin,TX,Travis,78745,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054377 CC,0419120118,30.19835661,-97.78925936
518 SUNNY LANE,Austin,TX,Travis,78704,Structure Condition Violation(s),Active,2026-05-01T00:00:00.000,2026-054540 CC,0201030112,30.25168642,-97.74185532
11409 SATCHEL DRIVE,Austin,TX,Travis,78754,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054672 CC,0245281603,30.37426336,-97.65704943
6001 W PARMER LANE,Austin,TX,Travis,78727,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054612 CC,0270001703,30.4414522,-97.7425389
7207 E MEADOW BEND DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054489 CC,0219400508,30.29839052,-97.6257333
8403 RIVERSTONE DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054392 CC,0217380513,30.29310615,-97.62855971
6906 WENTWORTH DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054441 CC,0217380113,30.29562424,-97.62954141
8303 RIVERSTONE DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054387 CC,0217380507,30.29297304,-97.63007208
8307 VALLEYFIELD DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054464 CC,0219400403,30.29945465,-97.62532943
11411 POWDER MILL TRAIL,Austin,TX,Travis,78750,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054418 CC,R076433,30.46026501,-97.81570599
6900 WENTWORTH DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054434 CC,0217380116,30.29528141,-97.63010885
8109 COLONY LOOP DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054401 CC,0219380601,30.2974756,-97.62916625
949 COMAL ST,Austin,TX,Travis,,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054380 CC,,,
8311 COLONY LOOP DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054409 CC,0217380316,30.29543554,-97.62802851
12403 MELLOW MEADOW DRIVE Unit 17102,Austin,TX,Travis,78750,Structure Condition Violation(s),Active,2026-05-01T00:00:00.000,2026-054718 CC,R056943,30.45652127,-97.79606136
1521 ANISE DRIVE,Austin,TX,Travis,78741,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054701 CC,0310180202,30.22386537,-97.69343906
6802 WENTWORTH DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054429 CC,0217380121,30.29456901,-97.63088947
12707 POND WOODS ROAD,Austin,TX,Travis,78729,Structure Condition Violation(s),Active,2026-05-01T00:00:00.000,2026-054495 CC,R577682,30.45803897,-97.78964179
8109 VIEW RIDGE DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054475 CC,0219380417,30.29824812,-97.62836806
3103 STECK AVENUE,Austin,TX,Travis,78757,Structure Condition Violation(s),Active,2026-05-01T00:00:00.000,2026-054671 CC,0241040420,30.3651279,-97.73645691
6507 E RIVERSIDE DRIVE Unit 1317,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-05-01T00:00:00.000,2026-054391 CC,0310140129,30.22357444,-97.70121906
4308 HANK AVENUE,Austin,TX,Travis,78745,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054367 CC,0408080109,30.22561027,-97.77977178
6804 WENTWORTH DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-01T00:00:00.000,2026-054431 CC,0217380120,30.29474488,-97.63075143
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8553,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054031 CC,0150050125,30.38609729,-97.76435808
401 W 38TH STREET,Austin,TX,Travis,78705,Property Abatement,Active,2026-04-30T00:00:00.000,2026-054145 CC,0218040107,30.30173426,-97.73655255
1011 LAMBIE STREET,Austin,TX,Travis,78702,Property Abatement,Active,2026-04-30T00:00:00.000,2026-053873 CC,0201040606,30.25547358,-97.73601306
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8541,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054005 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8555,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054044 CC,0150050125,30.38609729,-97.76435808
1222 ALGARITA AVENUE Unit 303,Austin,TX,Travis,78704,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053705 CC,0304020541,30.23781689,-97.7414673
7105 TOWNSBOROUGH DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-04-30T00:00:00.000,2026-053957 CC,0219361516,30.30155122,-97.63985437
5700 N LAMAR BOULEVARD,Austin,TX,Travis,78756,Property Abatement,Active,2026-04-30T00:00:00.000,2026-053752 CC,0228070101,30.32651848,-97.72656438
1618 PALMA PLAZA,Austin,TX,Travis,78703,Property Abatement,Active,2026-04-30T00:00:00.000,2026-053883 CC,0111030809,30.28258897,-97.75972274
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8513,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053938 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8509,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053921 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8559,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054052 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8529,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053964 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY Office,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054061 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8551,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054025 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8533,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053972 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8547,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054018 CC,0150050125,30.38609729,-97.76435808
12812 HYMEADOW DRIVE,Austin,TX,Travis,78729,Property Abatement,Active,2026-04-30T00:00:00.000,2026-054204 CC,R057055,30.45990881,-97.78938705
6624 DOYAL DRIVE,Austin,TX,Travis,78747,Property Abatement,Active,2026-04-30T00:00:00.000,2026-053575 CC,0336031243,30.15362366,-97.74171851
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8545,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054013 CC,0150050125,30.38609729,-97.76435808
500 E BEN WHITE BLVD SVRD EB D800,Austin,TX,Travis,,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053857 CC,,,
9218 BALCONES CLUB DRIVE Unit 2914,Austin,TX,Travis,,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053803 CC,,,
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8517,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053952 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8521,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053959 CC,0150050125,30.38609729,-97.76435808
1108 VILLAGE GREEN DRIVE,Austin,TX,Travis,78753,Property Abatement,Active,2026-04-30T00:00:00.000,2026-053867 CC,0238220417,30.35561071,-97.68170486
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8501,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053902 CC,0150050125,30.38609729,-97.76435808
5205 ROGERS LANE,Austin,TX,Travis,78724,Property Abatement,Active,2026-04-30T00:00:00.000,2026-053810 CC,0211330202,30.27964707,-97.6432606
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8525,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053997 CC,0150050125,30.38609729,-97.76435808
3703 HARMON AVENUE,Austin,TX,Travis,78705,Work Without Permit,Active,2026-04-30T00:00:00.000,2026-054114 CC,0215080805,30.29405523,-97.72098513
2020 S CONGRESS AVENUE,Austin,TX,Travis,78704,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054205 CC,0402012001,30.24334284,-97.75239092
7685 NORTHCROSS DRIVE,Austin,TX,Travis,78757,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054152 CC,0239040401,30.35421839,-97.73569853
2121 DICKSON DRIVE,Austin,TX,Travis,78704,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054221 CC,0401090168,30.24633121,-97.78129556
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8507,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053916 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8503,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053909 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8515,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053943 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8519,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053954 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8523,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053986 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8543,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054011 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8549,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054021 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8531,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053969 CC,0150050125,30.38609729,-97.76435808
3500 ALPINE CIRCLE,Austin,TX,Travis,78704,Property Abatement,Active,2026-04-30T00:00:00.000,2026-053799 CC,0407030275,30.2300082,-97.76232111
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8505,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053914 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8535,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053976 CC,0150050125,30.38609729,-97.76435808
501 N IH 35 SERVICE ROAD,Austin,TX,Travis,78702,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054072 CC,0204050516,30.26488176,-97.73421376
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8539,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054000 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8537,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053980 CC,0150050125,30.38609729,-97.76435808
4601 N LAMAR BOULEVARD,Austin,TX,Travis,78751,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053760 CC,0224040501,30.31501704,-97.73546934
2602 CARLOW DRIVE,Austin,TX,Travis,78745,Property Abatement,Active,2026-04-30T00:00:00.000,2026-054233 CC,0413200513,30.21293334,-97.81109602
1010 SPRINGDALE RD,Austin,TX,Travis,78721,Property Abatement,Active,2026-04-30T00:00:00.000,2026-054179 CC,0206150301,30.2673047,-97.6953152
11810 RAIN FOREST COVE,Austin,TX,Travis,78759,Property Abatement,Active,2026-04-30T00:00:00.000,2026-054070 CC,0164011212,30.42170829,-97.75159062
1500 ROYAL CREST DRIVE,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054229 CC,0304070208,30.24089004,-97.73026008
2823 E MARTIN LUTHER KING JR BOULEVARD Unit 1349,Austin,TX,Travis,78702,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054173 CC,0212121401,30.28113543,-97.71041451
903 E 46TH STREET,Austin,TX,Travis,78751,Property Abatement,Active,2026-04-30T00:00:00.000,2026-053734 CC,0220101410,30.30593282,-97.71849864
1103 VILLAGE GREEN DRIVE,Austin,TX,Travis,78753,Property Abatement,Active,2026-04-30T00:00:00.000,2026-053866 CC,0239200707,30.35532112,-97.68219805
10707 LAKE CREEK PARKWAY,Austin,TX,Travis,78750,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054111 CC,R075469,30.45475061,-97.80558736
7522 N IH 35 SERVICE ROAD,Austin,TX,Travis,78752,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053565 CC,0232150122,30.33759555,-97.70266145
3501 ALPINE CIRCLE,Austin,TX,Travis,78704,Property Abatement,Active,2026-04-30T00:00:00.000,2026-053743 CC,0407030274,30.2298649,-97.76216973
1100 REINLI STREET BLDG. 1 UNIT 226,Austin,TX,Travis,78723,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054146 CC,0224140116,30.31702008,-97.70333336
5500 CLAY AVENUE,Austin,TX,Travis,78756,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053645 CC,0229030339,30.32893866,-97.73930476
6705 ESTHER DRIVE,Austin,TX,Travis,78752,Property Abatement,Active,2026-04-30T00:00:00.000,2026-053583 CC,0229111004,30.33152207,-97.71404792
6008 GARDEN VIEW DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-04-30T00:00:00.000,2026-053974 CC,0215280637,30.29162374,-97.66041848
7108 BENNETT AVE,Austin,TX,Travis,78752,Property Abatement,Active,2026-04-30T00:00:00.000,2026-054215 CC,0229150112,30.33117269,-97.70101665
3110 GUADALUPE STREET,Austin,TX,Travis,78705,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054191 CC,0217020510,30.29855342,-97.74110083
1000 REBBECA DRIVE,Austin,TX,Travis,78758,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053885 CC,0252181026,30.38820076,-97.68746772
8308 PEACEFUL HILL LANE,Austin,TX,Travis,78748,Property Abatement,Active,2026-04-30T00:00:00.000,2026-053677 CC,0428110111,30.17737143,-97.79089761
810 E 13TH STREET,Austin,TX,Travis,78702,Property Abatement,Active,2026-04-30T00:00:00.000,2026-054129 CC,0209060109,30.27350942,-97.73068285
2239 CROMWELL CIRCLE Unit 503,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053955 CC,0307110310,30.22840368,-97.71838693
300 FERGUSON DRIVE Unit 4104,Austin,TX,Travis,78753,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-054128 CC,0245210104,30.37632539,-97.68510677
1401 KAMAR DRIVE,Austin,TX,Travis,78757,Property Abatement,Active,2026-04-30T00:00:00.000,2026-054004 CC,0239100609,30.35616099,-97.71774272
1600 KERR STREET,Austin,TX,Travis,78704,Work Without Permit,Active,2026-04-30T00:00:00.000,2026-053894 CC,0104040313,30.25879235,-97.76434265
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8511,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-04-30T00:00:00.000,2026-053926 CC,0150050125,30.38609729,-97.76435808
4807 DUVAL STREET,Austin,TX,Travis,78751,Property Abatement,Active,2026-04-29T00:00:00.000,2026-053265 CC,0221081504,30.31135477,-97.72151534
1500 S 1ST STREET,Austin,TX,Travis,78704,Structure Condition Violation(s),Active,2026-04-29T00:00:00.000,2026-053508 CC,0101011303,30.25016332,-97.75510647
2617 COATBRIDGE DRIVE,Austin,TX,Travis,78745,Property Abatement,Active,2026-04-29T00:00:00.000,2026-053210 CC,0412180613,30.21693439,-97.80911047
4102 VALLEY VIEW RD,Austin,TX,Travis,78704,Property Abatement,Active,2026-04-29T00:00:00.000,2026-052977 CC,0406100133,30.23130031,-97.78527811
6509 SUNDERLAND TRAIL,Austin,TX,Travis,78747,Property Abatement,Active,2026-04-29T00:00:00.000,2026-053537 CC,0338001101,30.14843104,-97.74579449
1600 E 3RD STREET,Austin,TX,Travis,78702,Work Without Permit,Active,2026-04-29T00:00:00.000,2026-053164 CC,0204080201,30.26052444,-97.72659411
3001 PARKER LANE,Austin,TX,Travis,78741,Property Abatement,Active,2026-04-29T00:00:00.000,2026-053042 CC,0309020504,30.22517702,-97.74149928
6502 MIDDLEHAM PLACE,Austin,TX,Travis,78745,Work Without Permit,Active,2026-04-29T00:00:00.000,2026-052997 CC,0418120404,30.20010421,-97.78834895
7513 MEADOWVIEW LANE,Austin,TX,Travis,78752,Property Abatement,Active,2026-04-29T00:00:00.000,2026-053049 CC,0232120202,30.34031102,-97.71008663
4110 TERRY O LANE,Austin,TX,Travis,78745,Property Abatement,Active,2026-04-29T00:00:00.000,2026-053199 CC,0411020211,30.21836293,-97.75778258
3400 ALDWYCHE DR,Austin,TX,Travis,78704,Property Abatement,Active,2026-04-29T00:00:00.000,2026-053514 CC,0404090304,30.23808266,-97.77975874
2609 E CESAR CHAVEZ STREET,Austin,TX,Travis,78702,Structure Condition Violation(s),Active,2026-04-29T00:00:00.000,2026-053221 CC,0200100604,30.25334829,-97.71470172
